release_year,author_name,book_shortener,book_title,poem_title,excerpt,file_name,link_url,low_res_file_name,low_res_link_url,folder_link,file_type,file_type_helper,book_release_catalog,graphic_made_status,approved_for_quote_image,used_status,notes,alternate_filename,source_row_number,source_row_numbers,excerpt_id,excerpt_ids,source_row_count,release_year_values,any_graphic_made_status_y,any_approved_for_quote_image_y,missing_core_fields,asset_key
,Neil Hilborn,,,"“Me, But Happy”",“The new way to say ‘I love you’ is to just ram our foreheads together.”,Neil - The Future - Quote Image - I don't know why.png,https://drive.google.com/a/buttonpoetry.com/file/d/1FUSIdngYzXGUYX0_Oq8woy5Lab4dwGuH/view?usp=drivesdk,,,,QI,,,,,,,,28211,28211,19951,19951,1,,,,"release_year, book_shortener, book_title",https://drive.google.com/a/buttonpoetry.com/file/d/1FUSIdngYzXGUYX0_Oq8woy5Lab4dwGuH/view?usp=drivesdk
,Neil Hilborn,,,"“Me, But Happy”","“We can’t really be sad if we’re both sad in the same place, right?” [2ND]",Neil - The Future - Quote Image - I want to thank you.png,https://drive.google.com/a/buttonpoetry.com/file/d/1vEQO96-azc42QOvg4vlMcneexlp01ogH/view?usp=drivesdk,,,,QI,,,,,,,,28212,28212,19962,19962,1,,,,"release_year, book_shortener, book_title",https://drive.google.com/a/buttonpoetry.com/file/d/1vEQO96-azc42QOvg4vlMcneexlp01ogH/view?usp=drivesdk
,Neil Hilborn,,,"“Me, But Happy”","“When I’m around you it’s like I’m full of electricity, but in a fun, non-lethal way that’s possibly giving me a boner.”",Neil - The Future - Quote Image - I've never made out with Jesus.png,https://drive.google.com/a/buttonpoetry.com/file/d/1uh8ZSuewGa1aUlaQa4d5VUHR7kLIEC-f/view?usp=drivesdk,,,,QI,,,,,,,,28213,28213,19947,19947,1,,,,"release_year, book_shortener, book_title",https://drive.google.com/a/buttonpoetry.com/file/d/1uh8ZSuewGa1aUlaQa4d5VUHR7kLIEC-f/view?usp=drivesdk
,Neil Hilborn,,,“Memorial Day”,"“The old, lesbian couple is sitting in the park overlooking Saint Paul. They are holding hands as though one, or both, of them have cancer.”",Neil - OND - Quote Image - I am sitting in this park.png,https://drive.google.com/a/buttonpoetry.com/file/d/0B_-uqSs_rEYCNEhfd3MyaVRiZkk/view?usp=drivesdk,,,,QI,,,,,,,,28231,"28231, 28232",19969,"19969, 19970",2,,,,"release_year, book_shortener, book_title",https://drive.google.com/a/buttonpoetry.com/file/d/0B_-uqSs_rEYCNEhfd3MyaVRiZkk/view?usp=drivesdk
,Neil Hilborn,,,“MSP PHI LGA ALB PHI MSP”,"“How miraculous that I can go basically anywhere. How miraculous, the doors, the wings, the recycled air. How miraculous, flight is just a fall that never finds the ground.”",Neil - OND - Quote Image - Pretension can.png,https://drive.google.com/a/buttonpoetry.com/file/d/0B_-uqSs_rEYCXy04QzNLaVJxem8/view?usp=drivesdk,,,,QI,,,,,,,,28267,"27574, 28267",19579,"19576, 19579",2,,,,"release_year, book_shortener, book_title",https://drive.google.com/a/buttonpoetry.com/file/d/0B_-uqSs_rEYCXy04QzNLaVJxem8/view?usp=drivesdk
,Neil Hilborn,,,"“Ode to the Gaslight Anthem, Ending in Hospital Bills”",“No matter where you drive it’s always into the sun and the sun doesn’t bat its eyes at you the way it used to.”,Neil - The Future - Quote Image - In you somewhere.png,https://drive.google.com/a/buttonpoetry.com/file/d/117F2mc09f-r_qKzQjUI_8dPs_b1rbjg_/view?usp=drivesdk,,,,QI,,,,,,,,28401,28401,20065,20065,1,,,,"release_year, book_shortener, book_title",https://drive.google.com/a/buttonpoetry.com/file/d/117F2mc09f-r_qKzQjUI_8dPs_b1rbjg_/view?usp=drivesdk
,Neil Hilborn,,,"“Ode to the Gaslight Anthem, Ending in Hospital Bills”","“Isn’t that what it means to stop running away? Stranding yourself somewhere so hard that it has to work, it has to, and if it doesn’t there’s only back south or the snow.” [FB]",Neil - The Future - Quote Image - No matter where you drive.png,https://drive.google.com/a/buttonpoetry.com/file/d/19bj1ys-77Z20pP9vooUU3rC9MmzG5Dz6/view?usp=drivesdk,,,,QI,,,,,,,,28400,28400,20064,20064,1,,,,"release_year, book_shortener, book_title",https://drive.google.com/a/buttonpoetry.com/file/d/19bj1ys-77Z20pP9vooUU3rC9MmzG5Dz6/view?usp=drivesdk
,Neil Hilborn,,,"“Psalm 12, in Which the Author Alienates His Audience”","“Cats are like if a cuddlier animal, say a rabbit or a shark, were very intent on breaking all of your shit.”",Neil - The Future - Quote Image - I no longer.png,https://drive.google.com/a/buttonpoetry.com/file/d/1r6vMHjDPEtlt3t3CTtpSgJzjB6Z-cKIM/view?usp=drivesdk,,,,QI,,,Y,,,,,28557,28557,20142,20142,1,,Y,,"release_year, book_shortener, book_title",https://drive.google.com/a/buttonpoetry.com/file/d/1r6vMHjDPEtlt3t3CTtpSgJzjB6Z-cKIM/view?usp=drivesdk
,Neil Hilborn,,,“The Door”,"“The hard part, probably, is admitting that I really can’t handle it anymore.”",Neil - The Future - Quote Image - I threw money.png,https://drive.google.com/a/buttonpoetry.com/file/d/1-DorELGl6g1hK6_xwg6CXV75waVVsWV1/view?usp=drivesdk,,,,QI,,,,,,,,28738,28738,20241,20241,1,,,,"release_year, book_shortener, book_title",https://drive.google.com/a/buttonpoetry.com/file/d/1-DorELGl6g1hK6_xwg6CXV75waVVsWV1/view?usp=drivesdk
,Neil Hilborn,,,“The Door”,"“The text message is a light bulb on a bad wire, I start typing and the ellipses flicker.”",Neil - The Future - Quote Image - The hard part.png,https://drive.google.com/a/buttonpoetry.com/file/d/1IZqi0_fGq3aVycuWklqwhz8gq6nyGboM/view?usp=drivesdk,,,,QI,,,,,,,,28739,28739,20257,20257,1,,,,"release_year, book_shortener, book_title",https://drive.google.com/a/buttonpoetry.com/file/d/1IZqi0_fGq3aVycuWklqwhz8gq6nyGboM/view?usp=drivesdk
